fecha ,public_total,public_corto_pl_,public_largo_pl_,public_local,public_extranj
01/06/2009,2676.5,474.8,2201.7,2676.5,0
01/07/2009,2725.6,489.6,2236,2725.6,0
01/08/2009,2748.1,508.9,2239.1,2748.1,0
01/09/2009,2790,517.7,2272.2,2790,0
01/10/2009,2795.1,532.1,2263,2795.1,0
01/11/2009,2824.9,530.4,2294.5,2824.9,0
01/12/2009,2747.1,519,2228.2,2747.1,0
01/01/2010,2759.7,511.8,2247.8,2759.7,0
01/02/2010,2808.1,514.6,2293.5,2808.1,0
01/03/2010,2884,523.7,2360.3,2884,0
01/04/2010,2916.7,538.8,2377.9,2916.7,0
01/05/2010,2928.9,529.4,2399.5,2928.9,0
01/06/2010,2955.7,546,2409.7,2955.7,0
01/07/2010,2981.4,512.6,2468.9,2981.4,0
01/08/2010,2939.2,502,2437.2,2939.2,0
01/09/2010,2991.8,508.6,2483.2,2991.8,0
01/10/2010,2968.4,472,2496.4,2968.4,0
01/11/2010,3012.4,462.9,2549.6,3012.4,0
01/12/2010,3051.6,565.1,2486.5,3051.6,0
01/01/2011,3076.2,571,2505.2,3076.2,0
01/02/2011,3118.8,543.8,2575,3118.8,0
01/03/2011,3184.3,544.9,2639.4,3184.3,0
01/04/2011,3242.5,548.4,2694.2,3242.5,0
01/05/2011,3318,570.3,2747.7,3318,0
01/06/2011,3420.5,643.7,2776.8,3420.5,0
01/07/2011,3479.5,641.8,2837.6,3479.5,0
01/08/2011,3551.5,650.6,2900.9,3551.5,0
01/09/2011,3629.5,641.9,2987.6,3629.5,0
01/10/2011,3716,673.3,3042.7,3716,0
01/11/2011,3787,681.8,3105.2,3787,0
01/12/2011,3760.8,705.6,3055.1,3760.8,0
01/01/2012,3830.8,717.7,3113.1,3830.8,0
01/02/2012,3900.5,721.4,3179.1,3900.5,0
01/03/2012,3985.5,735.4,3250.1,3985.5,0
01/04/2012,4056.7,749.3,3307.4,4056.7,0
01/05/2012,4129.5,753.1,3376.4,4129.5,0
01/06/2012,4136.6,845.9,3290.7,4136.6,0
01/07/2012,4221.7,857.6,3364.1,4221.7,0
01/08/2012,4272.9,857.8,3415.1,4272.9,0
01/09/2012,4351.1,849.5,3501.7,4351.1,0
01/10/2012,4377.4,831.1,3546.2,4377.4,0
01/11/2012,4467.5,837,3630.6,4467.5,0
01/12/2012,4371.3,822.6,3548.7,4371.3,0
